Date,Close,High,Low,Open,Volume
2025-04-28,209.8647918701172,211.2230113707532,207.1883090170199,209.72497582911663,38743100
2025-04-29,210.9333953857422,211.96204522644123,208.09710321217068,208.41669143858087,36827600
2025-04-30,212.22171020507807,213.30029766677717,206.399343338795,209.02590396975117,52286500
2025-05-01,213.04063415527344,214.2790004444518,208.62640936955896,208.80618155790117,57365700
2025-05-02,205.08106994628903,206.71892151455648,201.89524528415055,205.82009105417703,101010600
2025-05-05,198.6295318603516,203.832715518356,197.9504297070337,202.8340251243196,69018500
2025-05-06,198.25001525878903,200.3872119914049,196.7619763948813,197.9504203457911,51216500
2025-05-07,195.99298095703125,199.1788056079939,192.99690991055436,198.90915494694545,68536700
2025-05-08,197.2313690185547,199.78801395815432,194.42503624466005,197.46106353953903,50478900
2025-05-09,198.2700042724609,200.2773664943336,197.281295288598,198.739389980464,36453900
2025-05-12,210.7899932861328,211.2700042724609,206.75,210.97000122070312,63775800
2025-05-13,212.92999267578125,213.3999938964844,209.0,210.42999267578125,51909300
2025-05-14,212.3300018310547,213.94000244140625,210.5800018310547,212.42999267578125,49325800
2025-05-15,211.4499969482422,212.9600067138672,209.5399932861328,210.9499969482422,45029500
2025-05-16,211.25999450683597,212.57000732421875,209.7700042724609,212.3600006103516,54737900
2025-05-19,208.77999877929688,209.47999572753903,204.25999450683597,207.91000366210935,46140500
2025-05-20,206.8600006103516,208.47000122070312,205.02999877929688,207.6699981689453,42496600
2025-05-21,202.08999633789065,207.0399932861328,200.7100067138672,205.1699981689453,59211800
2025-05-22,201.3600006103516,202.75,199.6999969482422,200.7100067138672,46742400
2025-05-23,195.2700042724609,197.6999969482422,193.4600067138672,193.6699981689453,78314800
2025-05-27,198.6100006103516,199.1699981689453,197.42999267578125,198.3000030517578,12102187
